Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
T-Nuts - M4 20 Series Profile,T-Nuts for connecting extrutions to robot base,12,0.0075,0.09,https://jlcmc.com/product/s/T02/TPAA/m3-m4-m5-t-nut-20-series-aluminum-profile-fasteners,114.36
Wire - General Purpose 28 Gauge Wire,Wire for extention cables for the Stepper Motors,1,9.66,9.66,https://www.aliexpress.us/item/3256805264336680.html?spm=a2g0o.productlist.main.17.43072Skb2SkbAb&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005005450651432%7C_p_origin_prod%3A&algo_pvid=c29f435e-717c-4e99-a606-c9f778e56551&algo_exp_id=c29f435e-717c-4e99-a606-c9f778e56551&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.66%219.66%21%21%219.66%219.66%21%402101e81117681476931311003e0631%2112000041530397592%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt,124.74
,,,,,,
Sweep Dynamics Cycloidal BOM,,,,,,
Bearings - 6707 2RS,,10,1.97,19.75,https://www.aliexpress.us/item/2255800723290638.html?spm=a2g0o.order_detail.order_detail_item.5.3bfdf19cW68G7b&gatewayAdapt=glo2usa4itemAdapt,145.97
Bearings - MR137ZZ,,10,0.93,9.29,https://www.amazon.com/uxcell-Miniature-Bearings-Appliances-Machinery/dp/B0D2LBCKP2?crid=3RM2CVW7ATYKF&dib=eyJ2IjoiMSJ9.ieQ6H3YqO5BGN9-v2PPGpTSs-tE2t_tEY0FKzppl7SyU5j2zLv8C25c6xZscF1Axa8UTGoeAS0l2Tm90MKaHLijWozauz4Ygk7hvkQ1lV8h302vj04JFiBFqkTLovY1rAyB74ilwGXjtg6r7ZNh50L5-OE_zTJ-QPE45sapveXfzKDjIhXoqxMxNOnPvnCvXNx6hwDMytOZMrnkQIK4HTtnYCl7vVuH9L3e33S-Ow68.5OOcfNr37_2KU8bgupMBaxov6qJ6JzoVBJfSeZIyABk&dib_tag=se&keywords=7x13x4%2Bbearing&qid=1748067710&sprefix=7x1x4%2Bbearing%2Caps%2C339&sr=8-2&th=1&linkCode=sl1&tag=sweepdynamics-20&linkId=ef5c1047e4d483b514c0847f55639a4e&language=en_US&ref_=as_li_ss_tl,155.96
Bearings - MR128 2RS,,10,1.00,10.01,https://www.aliexpress.us/item/3256806709867700.html?spm=a2g0o.productlist.main.4.11312d867Dbn6x&aem_p4p_detail=2025051301525410148260714370890000032856&algo_pvid=1241e5b0-3f0d-454a-a576-86718b9a7fde&algo_exp_id=1241e5b0-3f0d-454a-a576-86718b9a7fde-3&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21AUD%2111.89%2110.38%21%21%2153.62%2146.81%21%40212a6e2917471263742777163ec6af%2112000038646983407%21sea%21AU%212743502350%21X&curPageLogUid=SpHVRSepQZjU&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025051301525410148260714370890000032856_1&gatewayAdapt=glo2usa4itemAdapt,166.72
Rollers - M3x5mmx10mm,Only need 30 ordering 40 is cheapest,40,0.22,8.78,https://www.aliexpress.us/item/3256805776299657.html?spm=a2g0o.order_list.order_list_main.35.31de1802mOvFrN&gatewayAdapt=glo2usa4itemAdapt,176.16
Screws - M3x20 BHCS,,30,0.0082,0.25,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,176.42
Screws - M3x8 Countersunk,,20,0.0032,0.06,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,176.49
