A1:1
A2:1
A3:1
A4:1
A5:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
G***:3
J1:1
J10:1
J11:1
J12:1
J13:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
REF**:5
U1:1
